,Andrew Fleming,,Evan Rachel Wood|Scott Speedman|Treat Williams|Kate Burton|Kate Burton|J. K. Simmons,Barefoot
,Jamshid Mahmoudi,,Hasiba Ebrahimi,A Few Cubic Meters of Love
Scott Rudin|Steven M. Rales|Steven Rales|Jeremy Dawson|Jeremy Dawson,Wes Anderson,,Ralph Fiennes|F. Murray Abraham|Mathieu Amalric|Adrien Brody|Willem Dafoe|Jeff Goldblum|Harvey Keitel|Jude Law|Bill Murray|Edward Norton|Saoirse Ronan|Jason Schwartzman|LÃ©a Seydoux|Tilda Swinton|Tom Wilkinson|Owen Wilson|Tony Revolori,The Grand Budapest Hotel
Grant Heslov,George Clooney,,Matt Damon|Bill Murray|John Goodman|Jean Dujardin|Bob Balaban|Hugh Bonneville|Cate Blanchett,The Monuments Men
,Rachid Bouchareb,Yasmina Khadra,Forest Whitaker|Harvey Keitel|Ellen Burstyn|Luis GuzmÃ¡n|Brenda Blethyn,Two Men in Town
Don Murphy|Susan Montford,Mark Waters|Mark Waters,,Zoey Deutch|Lucy Fry|Danila Kozlovsky|Dominic Sherwood|Cameron Monaghan|Sami Gayle|Sarah Hyland|Olga Kurylenko|Gabriel Byrne,Vampire Academy
Finola Dwyer|Amanda Posey,Pascal Chaumeil,Jack Thorne|Jack Thorne,Pierce Brosnan|Toni Collette|Imogen Poots|Aaron Paul,A Long Way Down
,Andreas Prochaska,,Sam Riley,The Dark Valley
Will Packer|Will Gluck,Steve Pink,,Kevin Hart|Kevin Hart|Michael Ealy|Regina Hall|Joy Bryant|Christopher McDonald|Paula Patton,About Last Night
Tim Bevan|Eric Fellner|Robyn Slovo,Hossein Amini,,Viggo Mortensen|Kirsten Dunst|Oscar Isaac,The Two Faces of January
Ryan Kavanaugh,McG,,Kevin Costner|Amber Heard|Hailee Steinfeld,3 Days to Kill
,Christophe Gans,,Vincent Cassel|LÃ©a Seydoux|AndrÃ© Dussollier,Beauty and the Beast
Nira Park,James Griffiths|James Griffiths,,Nick Frost|Rashida Jones|Chris O'Dowd|Ian McShane,Cuban Fury
Shirley Frimpong-Manso,Shirley Frimpong-Manso,,Ama Ampofo,Devil in the Detail
Josh Schwartz|Stephanie Savage,Shana Feste,,Alex Pettyfer|Gabriella Wilde|Bruce Greenwood|Joely Richardson|Robert Patrick,Endless Love
Aditya Chopra,Ali Abbas Zafar,,Ranveer Singh|Arjun Kapoor|Priyanka Chopra|Irrfan Khan,Gunday
Jeremy Bolt|Don Carmody,Paul W. S. Anderson,,Kit Harington|Emily Browning|Adewale Akinnuoye-Agbaje|Kiefer Sutherland|Carrie-Anne Moss|Jared Harris|Jessica Lucas|Sasha Roiz|Joe Pingue,Pompeii
,,,Danny Trejo|Diamond Dallas Page|Dallas Page|Jason Mewes|50 Cent|Tech N9ne,Vengeance
,Dany Boon,,Alice Pol|Kad Merad|Jean-Yves Berteloot|Judith El Zein|Marthe Villalonga|ValÃ©rie Bonneton|Bruno Lochet,Supercondriaque
Nina Yang Bongiovi|Forest Whitaker,,,Anthony Mackie|Mike Epps|Nicole Ari Parker|Sanaa Lathan,Repentance
Roma Downey|Mark Burnett,,,Diogo Morgado,Son of God
Mark Canton|Gianni Nunnari|Deborah Snyder|Thomas Tull|Zack Snyder,Noam Murro,,Sullivan Stapleton|Eva Green|Lena Headey|Hans Matheson|David Wenham|Rodrigo Santoro,300: Rise of an Empire
,Desmond Elliot,,Clarion Chukwura,Apaye (A Mother's Love)
,Jon Favreau,,SofÃ\xada Vergara|John Leguizamo|Scarlett Johansson|Dustin Hoffman|Oliver Platt|Bobby Cannavale|Amy Sedaris|Emjay Anthony|Robert Downey|Jr.,Chef
Evan Goldberg|Seth Rogen,Nicholas Stoller,Andrew J. Cohen|Brendan O'Brien|Brendan O'Brien,Zac Efron|Rose Byrne|Christopher Mintz-Plasse|Dave Franco|Lisa Kudrow,Neighbors
,The Spierig Brothers,,Ethan Hawke|Sarah Snook|Noah Taylor,Predestination
Mary Elizabeth Winstead|Keith Calder,Riley Stearns,,Leland Orser|Chris Ellis|Chris Ellis|Jon Gries|Lance Reddick|Beth Grant,Faults
Mitchell Block,,,Rebecca Gomperts,Vessel
Damon Russell|Paul Wesley,Shawn Christensen,,FÃ¡tima Ptacek|Emmy Rossum|Ron Perlman,Before I Disappear
Mary Parent|Arnon Milchan,Darren Aronofsky,Ari Handel,Russell Crowe|Jennifer Connelly|Ray Winstone|Emma Watson|Logan Lerman|Douglas Booth|Anthony Hopkins,Noah
David Hoberman|Todd Lieberman,James Bobin,Nicholas Stoller,Ricky Gervais|Ty Burrell|Tina Fey,Muppets Most Wanted
,Pascal Bourdiaux,,Franck Dubosc|Kev Adams|Nora Arnezeder|ValÃ©rie Benguigui|Helena Noguerra,Fiston
John Gatins|Mark Sourian,Scott Waugh,,Aaron Paul|Dominic Cooper|Imogen Poots|RamÃ³n RodrÃ\xadguez|RamÃ³n RodrÃ\xadguez|Scott Mescudi|Michael Keaton,Need for Speed
Kevin Feige,Russo brothers|Anthony Russo|Russo brothers|Joe Russo,,Chris Evans|Chris Evans|Scarlett Johansson|Sebastian Stan|Anthony Mackie|Cobie Smulders|Frank Grillo|Emily VanCamp|Hayley Atwell|Robert Redford|Samuel L. Jackson,Captain America: The Winter Soldier
Mason Novick,Jason Bateman,,Kathryn Hahn|Rohan Chand|Ben Falcone|Philip Baker Hall|Allison Janney,Bad Words
Felipe Marino|Joe Neurauter,,,Sam Rockwell|Olivia Wilde|Michelle Monaghan|Ben Schwartz|Ken Howard|Ray Liotta|Jane Fonda,Better Living Through Chemistry
,Tyler Perry,,Nia Long|Wendi McLendon-Covey|Zulay Henao|Cocoa Brown|Amy Smart,Tyler Perry's The Single Moms Club
,Rob Thomas|Rob Thomas,,Kristen Bell|Jason Dohring|Krysten Ritter|Ryan Hansen|Francis Capra|Percy Daggs III|Chris Lowell|Tina Majorino|Enrico Colantoni,Veronica Mars
,Raymond De Felitta,Jonathan Fernandez,Michael Pitt|Nina Arianda|Ray Romano|Griffin Dunne|Michael Rispoli|Frank Whaley|Burt Young|Cathy Moriarty|Andy GarcÃ\xada,Rob the Mob
Douglas Wick|Lucy Fisher,Neil Burger,,Shailene Woodley|Theo James|Ashley Judd|Jai Courtney|Ray Stevenson|ZoÃ« Kravitz|Miles Teller|Tony Goldwyn|Ansel Elgort|Maggie Q|Kate Winslet,Divergent
Bill Block,David Ayer,Skip Woods,Arnold Schwarzenegger|Sam Worthington|Olivia Williams|Terrence Howard|Joe Manganiello|Harold Perrineau|Martin Donovan|Max Martini|Josh Holloway|Mireille Enos,Sabotage
,Carlos Saldanha,,Anne Hathaway|Jesse Eisenberg|Jemaine Clement|Kristin Chenoweth|Bruno Mars|George Lopez|Tracy Morgan|Leslie Mann|Rodrigo Santoro|Andy GarcÃ\xada|Jamie Foxx,Rio 2
Andrea Sperling|Steven M. Rales|Steven Rales,Drake Doremus,Ben York Jones,Guy Pearce|Felicity Jones|Amy Ryan|Mackenzie Davis,Breathe In
Omoni Oboli,,,Gbenga Akinnagbe|Omoni Oboli|Bimbo Manuel,Render to Caesar
Avi Arad|Matt Tolmach,Marc Webb,,Andrew Garfield|Emma Stone|Jamie Foxx|Dane DeHaan|Campbell Scott|Embeth Davidtz|Colm Feore|Paul Giamatti|Sally Field,The Amazing Spider-Man 2
Julie Yorn,Nick Cassavetes,Melissa Stack,Cameron Diaz|Leslie Mann|Kate Upton|Nikolaj Coster-Waldau|Nicki Minaj|Taylor Kinney|Don Johnson,The Other Woman
,David Douglas|David Douglas,,,Island of Lemurs: Madagascar
,,,Danica McKellar|Kerr Smith|Brooke Burns|William Zabka|Kristoffer Polaha|McKaley Miller,Where Hope Grows
Joe Medjuck|Gigi Pritzker,Ivan Reitman,Rajiv Joseph,Kevin Costner|Jennifer Garner|Denis Leary|Frank Langella|Sam Elliott|Ellen Burstyn|Chadwick Boseman,Draft Day
James Gay-Rees|Simon Oakes|Tobin Armbrust,John Pogue,,Jared Harris|Sam Claflin|Olivia Cooke|Erin Richards,The Quiet Ones
Broderick Johnson|Andrew Kosove|Andrew A. Kosove|David Valdes|Aaron Ryder,Wally Pfister,,Johnny Depp|Morgan Freeman|Rebecca Hall|Kate Mara|Cillian Murphy|Cole Hauser|Paul Bettany,Transcendence
Joe Roth|T. D. Jakes|Devon Franklin,Randall Wallace,,Margo Martindale|Thomas Haden Church,Heaven Is for Real
Howard Klausner,,,Ray Liotta,The Identical
Joanna Natasegara,Orlando von Einsiedel,,,Virunga
,Christopher Denham,,Wrenn Schmidt|Pablo Schreiber|Aaron Staton|Cody Saintgnue,Preservation
Karan Johar|Sajid Nadiadwala|Siddharth Roy Kapur,Abhishek Varman,Hussain Dalal,Arjun Kapoor|Alia Bhatt|Ronit Roy|Amrita Singh|Revathi|Shiv Kumar Subramaniam,2 States
Marlon Wayans,Michael Tiddes,,Jaime Pressly|Essence Atkins|Gabriel Iglesias|Missi Pyle|Ashley Rickards|Affion Crockett|Steele Stebbins|Rick Overton|Hayes MacArthur|Dave Sheridan|Dave Sheridan|Cedric the Entertainer,A Haunted House 2
,Alastair Fothergill|Keith Scholey,Alastair Fothergill|Adam Chapman,,Bears
,Kobun Shizuno,,Kappei Yamaguchi|Minami Takayama|Wakana Yamazaki|Rikiya Koyama|Megumi Hayashibara|Naoko Matsui|Kazuhiko Inoue|Ikue Ohtani|Wataru Takagi|Chafurin|Atsuko Yuya|Miyuki Ichijou|ShÅ«ichi Ikeda|Kiyoyuki Yanada|Noriko Hidaka|Ryotaro Okiayu|Sota Fukushi|Patrick Harlan,Detective Conan: Dimensional Sniper
,,,Thomas Rongen|Jaiyah Saelua|Nicky Salapu,Next Goal Wins
Luc Besson,Camille Delamarre,,Catalina Denis|Carlo Rota,Brick Mansions
Lauren Bercovitch|Morgan Spurlock,Brent Hodge,,Ashleigh Ball|My Little Pony: Friendship Is Magic fandom|Bryan Mischke|Andrea Libman|Nicole Oliver|Donald Rhoades|My Little Pony: Friendship Is Magic fandom|Andy Stein|My Little Pony: Friendship Is Magic fandom|Jordan Downs|My Little Pony: Friendship Is Magic fandom|Kelvin Williams,A Brony Tale
Sidney Kimmel|Gary Lucchesi|Tom Rosenberg,Steven Brill|Steven Brill,,Elizabeth Banks|James Marsden|Gillian Jacobs|Sarah Wright|Ethan Suplee|Oliver Hudson|Willie Garson,Walk of Shame
Joe Roth|Mark Ciardi,Craig Gillespie,Tom McCarthy|Thomas McCarthy,Jon Hamm|Aasif Mandvi|Bill Paxton|Suraj Sharma|Lake Bell|Alan Arkin,Million Dollar Arm
Thomas Tull|Jon Jashni|Mary Parent,Gareth Edwards|Gareth Edwards,,Aaron Taylor-Johnson|Ken Watanabe|Elizabeth Olsen|Juliette Binoche|Sally Hawkins|David Strathairn|Aaron Taylor-Johnson|Ken Watanabe|Elizabeth Olsen|Juliette Binoche|Sally Hawkins|David Strathairn|Bryan Cranston,Godzilla
Lauren Shuler Donner|Simon Kinberg,Bryan Singer,,Hugh Jackman|James McAvoy|Michael Fassbender|Jennifer Lawrence|Halle Berry|Anna Paquin|Ellen Page|Peter Dinklage|Ian McKellen|Hugh Jackman|James McAvoy|Michael Fassbender|Jennifer Lawrence|Halle Berry|Anna Paquin|Ellen Page|Peter Dinklage|Ian McKellen|Patrick Stewart,X-Men: Days of Future Past
Ã‰tienne Comar,Abderrahmane Sissako,,Hichem Yacoubi,Timbuktu
Bonnie Arnold,Dean DeBlois,,Jay Baruchel|Cate Blanchett|Gerard Butler|Craig Ferguson|America Ferrera|Jonah Hill|Christopher Mintz-Plasse|T.J. Miller|Kristen Wiig|Djimon Hounsou|Kit Harington,How to Train Your Dragon 2
Wyck Godfrey,Josh Boone|Josh Boone,,Shailene Woodley|Ansel Elgort|Laura Dern|Sam Trammell|Nat Wolff|Willem Dafoe,The Fault in Our Stars
,David Robert Mitchell,,Maika Monroe|Keir Gilchrist|Daniel Zovatto|Jake Weary|Olivia Luccardi,It Follows
,Philippe LacÃ´te,,,Run
Ã‰ric Altmayer|Nicolas Altmayer,Bertrand Bonello,Thomas Bidegain,Gaspard Ulliel|JÃ©rÃ©mie Renier|Louis Garrel|LÃ©a Seydoux|Amira Casar|Aymeline Valade|Helmut Berger,Saint Laurent
,Kristian Levring,Anders Thomas Jensen,Mads Mikkelsen|Eva Green|Eric Cantona|Mikael Persbrandt|Douglas Henshall|Michael Raymond-James|Jeffrey Dean Morgan|Jonathan Pryce,The Salvation
AgustÃ\xadn AlmodÃ³var|Pedro AlmodÃ³var|Hugo Sigman,DamiÃ¡n Szifron,,Ricardo DarÃ\xadn|Oscar MartÃ\xadnez|Oscar MartÃ\xadnez|Leonardo Sbaraglia|Ã‰rica Rivas|Julieta Zylberberg|Ricardo DarÃ\xadn|Oscar MartÃ\xadnez|Oscar MartÃ\xadnez|Leonardo Sbaraglia|Ã‰rica Rivas|Julieta Zylberberg|DarÃ\xado Grandinetti,Wild Tales
David Linde|Liz Watts,David MichÃ´d,,Guy Pearce|Robert Pattinson|Scoot McNairy,The Rover
Megan Ellison,Bennett Miller,E. Max Frye|Dan Futterman,Steve Carell|Channing Tatum|Mark Ruffalo|Vanessa Redgrave,Foxcatcher
Richard Tanne,,,Matt Angel|Erik Palladino|Malcolm McDowell,Mischief Night
,Michel Hazanavicius,,BÃ©rÃ©nice Bejo|Annette Bening,The Search
Adam Sandler|Jack Giarraputo,Frank Coraci,,Adam Sandler|Drew Barrymore,Blended
Gordon Bijelonic,Phil Alden Robinson,,Robin Williams|Mila Kunis|Peter Dinklage|Melissa Leo,The Angriest Man in Brooklyn
Erwin Stoff|Gregory Jacobs,Doug Liman,,Tom Cruise|Emily Blunt|Bill Paxton|Brendan Gleeson,Edge of Tomorrow
Joe Roth,Robert Stromberg,,Angelina Jolie|Sharlto Copley|Elle Fanning|Sam Riley|Imelda Staunton|Juno Temple|Angelina Jolie|Sharlto Copley|Elle Fanning|Sam Riley|Imelda Staunton|Juno Temple|Lesley Manville,Maleficent
,,,Ivie Okujaye|Tina Mba|Beverly Naya,Make a Move
Scott Stuber,Seth MacFarlane,Alec Sulkin|Wellesley Wild,Charlize Theron|Amanda Seyfried|Neil Patrick Harris|Giovanni Ribisi|Sarah Silverman|Liam Neeson,A Million Ways to Die in the West
Omoni Oboli,Omoni Oboli,,Uru Eke,Being Mrs. Elliot
Neal H. Moritz|Jonah Hill|Channing Tatum,Phil Lord and Christopher Miller|Phil Lord|Phil Lord and Christopher Miller|Christopher Miller,,Peter Stormare|Ice Cube,22 Jump Street
Graham King|Robert Lorenz,Clint Eastwood,,Vincent Piazza|Christopher Walken,Jersey Boys
Hari Om Entertainment|Aruna Bhatia|Twinkle Khanna|Vipul Amrutlal Shah,A. R. Murugadoss,,Akshay Kumar|Sonakshi Sinha|Sumeet Raghavan|Freddy Daruwala,Holiday: A Soldier Is Never Off Duty
Ryan Kavanaugh,Dave Green|Dave Green,,"Teo Halm|Astro (rapper)|Brian ""Astro"" Bradley",Earth to Echo
Don Murphy|Tom DeSanto|Lorenzo di Bonaventura|Don Murphy|Tom DeSanto|Lorenzo di Bonaventura|Ian Bryce,Michael Bay,Ehren Kruger,Mark Wahlberg|Mark Wahlberg|Stanley Tucci,Transformers: Age of Extinction
Will Packer,Tim Story,,Michael Ealy|Meagan Good|Regina Hall|Terrence J|Taraji P. Henson|Romany Malco|Gabrielle Union|Jerry Ferrara|Wendi McLendon-Covey|Gary Owen (comedian)|Gary Owen|Kevin Hart,Think Like a Man Too
Peter Chernin|Rick Jaffa and Amanda Silver|Rick Jaffa|Amanda Silver,Matt Reeves,Mark Bomback,Andy Serkis|Jason Clarke|Jason Clarke|Gary Oldman|Keri Russell|Toby Kebbell|Kodi Smit-McPhee,Dawn of the Planet of the Apes
Ekta Kapoor|Shobha Kapoor,Mohit Suri,,Sidharth Malhotra|Riteish Deshmukh|Shraddha Kapoor,Ek Villain
,Deng Chao,,Deng Chao|Yang Mi|GÃ¼lnezer Bextiyar|Guli Nazha|Liu Yan|Liu Yan,The Breakup Guru
Park Chan-wook,Bong Joon-ho,,Chris Evans|Chris Evans|Song Kang-ho|Tilda Swinton|Jamie Bell|Octavia Spencer|Ewen Bremner|Go Ah-sung|Ko Asung|John Hurt|Ed Harris,Snowpiercer
,Joe Berlinger,,,Whitey: United States of America v. James J. Bulger
Jerry Bruckheimer,Scott Derrickson,,Eric Bana|Ã‰dgar RamÃ\xadrez|Olivia Munn|Sean Harris|Joel McHale,Deliver Us from Evil
Melissa McCarthy|Will Ferrell|Adam McKay,Ben Falcone,,Susan Sarandon|Allison Janney|Gary Cole|Mark Duplass|Dan Aykroyd|Kathy Bates,Tammy
Gerald R. Molen,Dinesh D'Souza,,,America:|Imagine the World Without Her
,Nick Cannon,,Luenell|Mike Epps|Katt Williams|Kristina DeBarge|Tiffany Haddish|George Lopez|Wilmer Valderrama,School Dance
,,,John Karna|Katie Findlay|Craig Roberts|Alan Tudyk,Premature
Izabella Miko,,,Reece Ritchie|Freida Pinto|Nazanin Boniadi|Tom Cullen|Marama Corlett|Akin Gazi,Desert Dancer
,Noel Clarke,Simon Lewis|Simon Lewis,Ian Somerhalder|Brian Cox|Brian Cox|Alexis Knapp,The Anomaly
,,,James Remar|Bruce Davison,Persecuted
Steve Tisch,Jake Kasdan,,Cameron Diaz|Rob Corddry|Ellie Kemper|Rob Lowe,Sex Tape
Jason Blum|Michael Bay|Andrew Form|Bradley Fuller|Brad Fuller,James DeMonaco,,Frank Grillo|Carmen Ejogo|Zach Gilford|Kiele Sanchez|ZoÃ« Soul|Michael K. Williams,The Purge: Anarchy
Yoshiaki Nishimura,Hiromasa Yonebayashi,,Sara Takatsuki|Kasumi Arimura,When Marnie Was There
,Levan Gabriadze|Leo Gabriadze,,,Unfriended
Tom Tykwer,,,Lizz Njagah,Veve
,James Rolfe,,Sarah Glendening|Eddie Pepitone|Jeremy Suarez,Angry Video Game Nerd: The Movie
Kevin Feige,James Gunn,Nicole Perlman,Chris Pratt|Zoe Saldana|Dave Bautista|Vin Diesel|Bradley Cooper|Lee Pace|Michael Rooker|Karen Gillan|Djimon Hounsou|John C. Reilly|Glenn Close|Benicio del Toro,Guardians of the Galaxy
Mark Damon|Jared Ian Goldman,Rob Reiner,Mark Andrus,Frances Sternhagen|Frankie Valli,And So It Goes
,Brett Ratner,,Dwayne Johnson|Ian McShane|Rufus Sewell|Aksel Hennie|Ingrid BolsÃ¸ Berdal|Reece Ritchie|Tobias Santelmann|Joseph Fiennes|Peter Mullan|Rebecca Ferguson|Irina Shayk|Dwayne Johnson|Ian McShane|Rufus Sewell|Aksel Hennie|Ingrid BolsÃ¸ Berdal|Reece Ritchie|Tobias Santelmann|Joseph Fiennes|Peter Mullan|Rebecca Ferguson|Irina Shayk|John Hurt,Hercules
Sajid Nadiadwala,Sajid Nadiadwala,Rajat Arora,Salman Khan|Jacqueline Fernandez,Kick
Virginie Besson-Silla,Luc Besson,,Scarlett Johansson|Morgan Freeman|Choi Min-sik|Amr Waked,Lucy
Letty Aronson|Stephen Tenenbaum,Woody Allen,,Emma Stone|Colin Firth|Marcia Gay Harden|Hamish Linklater|Simon McBurney|Jacki Weaver,Magic in the Moonlight
Gabriel Iglesias,,,,The Fluffy Movie
Michael Bay|Andrew Form|Brad Fuller|Brad Fuller|Ian Bryce,Jonathan Liebesman,Josh Appelbaum|AndrÃ© Nemec|Evan Daugherty,Megan Fox|Will Arnett|William Fichtner|Danny Woodburn|Abby Elliott|Noel Fisher|Jeremy Howard|Jeremy Howard|Pete Ploszek|Alan Ritchson,Teenage Mutant Ninja Turtles
Brian Grazer|Mick Jagger,Tate Taylor,,Chadwick Boseman|Nelsan Ellis|Dan Aykroyd|Viola Davis|Craig Robinson|Craig Robinson|Octavia Spencer,Get on Up
Avi Lerner,Patrick Hughes|Patrick Hughes,,Sylvester Stallone|Jason Statham|Antonio Banderas|Jet Li|Wesley Snipes|Dolph Lundgren|Kelsey Grammer|Randy Couture|Terry Crews|Mel Gibson|Harrison Ford|Arnold Schwarzenegger|Kellan Lutz|Ronda Rousey|Glen Powell|Victor Ortiz,The Expendables 3
,Thomas Carter|Thomas Carter,,Jim Caviezel|Michael Chiklis|Alexander Ludwig|Laura Dern,When the Game Stands Tall
,Damon Beesley|Iain Morris,,Simon Bird|James Buckley|James Buckley|Blake Harrison|Joe Thomas|Joe Thomas,The Inbetweeners 2
Todd Garner,Steven Quale,,Richard Armitage|Richard Armitage|Sarah Wayne Callies|Matt Walsh (comedian)|Matt Walsh|Alycia Debnam-Carey|Arlen Escarpeta,Into the Storm
,Takashi Yamazaki,,Wasabi Mizuta|Yumi Kakazu|Subaru Kimura|Tomokazu Seki|Yoshiko Kamei|Vanilla Yamazaki|Wataru Takagi|Kotono Mitsuishi|Yasunori Matsumoto|Aruno Tahara|Satoshi Tsumabuki,Stand by Me Doraemon
Erik Feig|Adam Shankman,Trish Sie,,"Ryan Guzman|Briana Evigan|Misha Gabriel|Stephen ""tWitch"" Boss|Izabella Miko|Alyson Stoner|Adam Sevani",Step Up: All In
Juliet Blake|Steven Spielberg|Oprah Winfrey,Lasse HallstrÃ¶m,,Helen Mirren|Om Puri|Manish Dayal|Charlotte Le Bon,The Hundred-Foot Journey
Nikki Silver,Phillip Noyce,,Jeff Bridges|Meryl Streep|Brenton Thwaites|Alexander SkarsgÃ¥rd|Katie Holmes|Taylor Swift|Cameron Monaghan|Odeya Rush,The Giver
,Liew Seng Tat,,Wan Hanafi Su,Men Who Save the World
Siddharth Roy Kapur|N. Subash Chandrabose,N. Lingusamy,Brinda Sarathy,Suriya Sivakumar|Samantha Ruth Prabhu|Vidyut Jammwal,Anjaan
Trish Dolman,Peter Chelsom,,Simon Pegg|Toni Collette|Rosamund Pike|Stellan SkarsgÃ¥rd|Jean Reno|Simon Pegg|Toni Collette|Rosamund Pike|Stellan SkarsgÃ¥rd|Jean Reno|Christopher Plummer,Hector and the Search for Happiness
Ajay Devgn|Rohit Shetty,Rohit Shetty,Sajid-Farhad,,Singham Returns
Denise Di Novi,R. J. Cutler,,ChloÃ« Grace Moretz|Mireille Enos|Jamie Blackley|Joshua Leonard|Stacy Keach|Aisha Hinds,If I Stay
Alexander Rodnyansky,Robert Rodriguez|Frank Miller (comics)|Frank Miller,,Mickey Rourke|Jessica Alba|Josh Brolin|Joseph Gordon-Levitt|Rosario Dawson|Bruce Willis|Eva Green|Powers Boothe|Dennis Haysbert|Ray Liotta|Jaime King|Christopher Lloyd|Jamie Chung|Jeremy Piven|Christopher Meloni|Juno Temple,Sin City: A Dame to Kill For
John Lesher|John Lesher|Arnon Milchan|James W. Skotchdopole,Alejandro GonzÃ¡lez IÃ±Ã¡rritu|Alejandro G. IÃ±Ã¡rritu,NicolÃ¡s Giacobone|Alexander Dinelaris Jr.|Armando BÃ³|Armando Bo,Michael Keaton|Zach Galifianakis|Edward Norton|Andrea Riseborough|Amy Ryan|Emma Stone|Naomi Watts,Birdman
Beau St. Clair,Roger Donaldson,,Pierce Brosnan|Luke Bracey|Olga Kurylenko|Eliza Taylor|Caterina Scorsone|Bill Smitrovich|Will Patton,The November Man
Thomas Tull,John Erick Dowdle,,Perdita Weeks|Ben Feldman|Ben Feldman|Edwin Hodge|FranÃ§ois Civil,As Above|So Below
Gigi Pritzker,Jon Stewart,,Gael GarcÃ\xada Bernal|Kim Bodnia|Haluk Bilginer,Rosewater
Nora Grossman|Ido Ostrowsky|Teddy Schwarzman,Morten Tyldum,Graham Moore|Graham Moore,Benedict Cumberbatch|Keira Knightley|Matthew Goode|Rory Kinnear|Charles Dance|Mark Strong,The Imitation Game
Reese Witherspoon|Bruna Papandrea|Bill Pohlad,Jean-Marc VallÃ©e,,Laura Dern|Thomas Sadoski|Michiel Huisman|Gaby Hoffmann,Wild
,,,Ben Kingsley|Isaac Hempstead Wright|Elle Fanning|Dee Bradley Baker|Steven Blum|Toni Collette|Jared Harris|Nick Frost|Richard Ayoade|Tracy Morgan|Ben Kingsley|Isaac Hempstead Wright|Elle Fanning|Dee Bradley Baker|Steven Blum|Toni Collette|Jared Harris|Nick Frost|Richard Ayoade|Tracy Morgan|Simon Pegg,The Boxtrolls
Ridley Scott,Rowan JoffÃ©,,Nicole Kidman|Mark Strong|Colin Firth|Anne-Marie Duff,Before I Go to Sleep
Susan Downey,David Dobkin|David Dobkin,,Robert Downey Jr.|Robert Duvall|Vera Farmiga|Vincent D'Onofrio|Jeremy Strong|Jeremy Strong|Dax Shepard|Leighton Meester|Billy Bob Thornton,The Judge
Sanjay Leela Bhansali|Ajit Andhare,Omung Kumar,,Priyanka Chopra|Darshan Kumaar|Sunil Thapa,Mary Kom
Jake Gyllenhaal|David Lancaster|Jennifer Fox|Jennifer Fox|Tony Gilroy,Dan Gilroy,,Rene Russo|Riz Ahmed|Bill Paxton,Nightcrawler
Fred Roos|Jenno Topping|Peter Chernin,Theodore Melfi,,Bill Murray|Melissa McCarthy|Naomi Watts|Jaeden Lieberher,St. Vincent
Will Ferrell|Aaron L. Gilbert|Adam McKay|Burton Ritchie|Kristen Wiig,Shira Piven,,James Marsden|Linda Cardellini|Wes Bentley,Welcome to Me
Stephanie Allain|Reggie Rock Bythewood|Ryan Kavanaugh,Gina Prince-Bythewood,,Gugu Mbatha-Raw|Minnie Driver|Nate Parker|Danny Glover|MGK|Machine Gun Kelly,Beyond the Lights
Scott Rudin,Chris Rock,,Rosario Dawson,Top Five
,Kevin Smith,,Michael Parks|Justin Long|Haley Joel Osment|Genesis Rodriguez|Johnny Depp,Tusk
,Hal Hartley,,Liam Aiken|Aubrey Plaza|Parker Posey|James Urbaniak|Thomas Jay Ryan|Martin Donovan|Karen Sillas|Robert John Burke|Bill Sage,Ned Rifle
Denzel Washington|Steve Tisch|Mace Neufeld,Antoine Fuqua,,Denzel Washington|Marton Csokas|ChloÃ« Grace Moretz|David Harbour|Bill Pullman|Melissa Leo,The Equalizer
Ron Howard|Brian Grazer|Thad Luckinbill,Philippe Falardeau,Margaret Nagle,Reese Witherspoon|Ger Duany|Emmanuel Jal|Corey Stoll|Sarah Baker,The Good Lie
Tim Bevan|Eric Fellner|Lisa Bruce|Anthony McCarten,James Marsh|James Marsh,,Working Title Films|Felicity Jones|Charlie Cox|Emily Watson|Simon McBurney|David Thewlis,The Theory of Everything
David Atrakchi,Israel Horovitz,,Kevin Kline|Kristin Scott Thomas|Maggie Smith|StÃ©phane Freiss|Dominique Pinon,My Old Lady
Robert Engelman|Broderick Johnson|Andrew Kosove|Andrew A. Kosove,Charles Martin Smith,,Nathan Gamble|Harry Connick Jr.|Ashley Judd|Kris Kristofferson|Cozi Zuehlsdorff|Morgan Freeman,Dolphin Tale 2
Dinesh Vijan,Homi Adajania,,Naseeruddin Shah|Dimple Kapadia|Pankaj Kapur|Deepika Padukone|Arjun Kapoor,Finding Fanny
Will Packer,Sam Miller,AimÃ©e Lagos,Idris Elba|Taraji P. Henson,No Good Deed
Peter Chernin,MichaÃ«l R. Roskam,Dennis Lehane,Tom Hardy|Noomi Rapace|James Gandolfini|Matthias Schoenaerts,The Drop
Danny DeVito|Michael Shamberg|Stacey Sher|Brian Oliver|Brian Oliver|Tobin Armbrust,Scott Frank,,Liam Neeson|Dan Stevens|David Harbour|Astro (rapper)|Brian Bradley|Boyd Holbrook,A Walk Among the Tombstones
Ellen Goldsmith-Vein|Wyck Godfrey,Wes Ball,,Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Will Poulter|Patricia Clarkson|Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Will Poulter|Patricia Clarkson,The Maze Runner
