David Brown|David Brown|Richard D. Zanuck,Ron Howard,,Don Ameche|Wilford Brimley|Hume Cronyn|Brian Dennehy|Jack Gilford|Steve Guttenberg|Maureen Stapleton|Jessica Tandy|Gwen Verdon|Herta Ware|Tahnee Welch,Cocoon
Michael Douglas,Lewis Teague,Mark Rosenthal|Lawrence Konner,Kathleen Turner|Danny DeVito,The Jewel of the Nile
Edward S. Feldman,Peter Weir,,Harrison Ford,Witness
Harvey Bernhard,Richard Donner,,Sean Astin|Josh Brolin|Jeff Cohen|Jeff Cohen|Corey Feldman|Kerri Green|Martha Plimpton|Jonathan Ke Quan|Ke Huy Quan|Template:Infobox film,The Goonies
George Folsey|Jr.|Brian Grazer,John Landis,,Chevy Chase|Steve Forrest|Steve Forrest|Donna Dixon|Bruce Davison|Bernie Casey|William Prince|William Prince|Tom Hatten,Spies Like Us
Don Simpson|Jerry Bruckheimer,Tony Scott,Jim Cash|Jack Epps Jr.,Tom Cruise|Kelly McGillis|Val Kilmer|Anthony Edwards|Tom Skerritt,Top Gun
John Cornell,Peter Faiman,,Linda Kozlowski|Mark Blum|David Gulpilil|Michael Lombard|John Meillon,Crocodile Dundee
Arnold Kopelson,Oliver Stone,,Tom Berenger|Willem Dafoe|Charlie Sheen|Keith David|Kevin Dillon|John C. McGinley,Platoon
Jerry Weintraub,John G. Avildsen,Robert Mark Kamen,"Ralph Macchio|Ralph Macchio|Pat Morita|Noriyuki ""Pat"" Morita",The Karate Kid Part II
Harve Bennett,Leonard Nimoy,,#Cast|see Cast,Star Trek IV:|The Voyage Home
Chuck Russell,Alan Metter,,Sally Kellerman|Burt Young|Keith Gordon|Adrienne Barbeau|Robert Downey|Jr.|Sam Kinison|Ned Beatty,Back to School
Gale Anne Hurd,James Cameron,,Sigourney Weaver,Aliens
Edward S. Feldman,Michael Ritchie|Michael Ritchie,Dennis Feldman,Eddie Murphy|Charlotte Lewis|Charles Dance,The Golden Child
Michael Peyser,Jim Abrahams|David Zucker|David Zucker|Jerry Zucker|Jerry Zucker,Dale Launer,Danny DeVito|Judge Reinhold|Helen Slater|Bette Midler,Ruthless People
,Harley Cokliss,,Tommy Lee Jones|Linda Hamilton|Robert Vaughn|Richard Jaeckel|Bubba Smith,Black Moon Rising
